Noisy,Clean
मा ने कहा वहा मत जाओ,"माँ ने कहा, वहाँ मत जाओ।"
क्या तुम चलोगे मुझे बहुत काम है,क्या तुम चलोगे? मुझे बहुत काम है।
में कल घर जाऊंगा और मा से मिलूंगा,मैं कल घर जाऊँगा और माँ से मिलूँगा।
वहा कहा लिखा है कि रास्ता बंद है,वहाँ कहाँ लिखा है कि रास्ता बंद है?
क्या आप जानते हैं दरवाजा खुला है,क्या आप जानते हैं? दरवाजा खुला है।
में बाजार जा रहा हु मा ने बुलाया है,मैं बाज़ार जा रहा हूँ माँ ने बुलाया है।
कहा जा रहे हो अभी तो धूप बहुत है,कहाँ जा रहे हो? अभी तो धूप बहुत है।
में वहा जाऊंगा जहा सब मिलते हैं,मैं वहाँ जाऊँगा जहाँ सब मिलते हैं।
क्या तुम मेरे साथ चलोगे मुझे बाज़ार जाना है,क्या तुम मेरे साथ चलोगे? मुझे बाज़ार जाना है।
भाई आजकल तुम कहा रहते हो मा पूछ रही थी,भाई! आजकल तुम कहाँ रहते हो? माँ पूछ रही थी।
में थक गया हु अब में सोना चाहता हु,मैं थक गया हूँ। अब मैं सोना चाहता हूँ।
क्या तुमने खाना खाया वहा बहुत भीड़ थी,क्या तुमने खाना खाया? वहाँ बहुत भीड़ थी।
में जानता हु कि तुम वहा नहीं जाओगे,मैं जानता हूँ कि तुम वहाँ नहीं जाओगे।
कहा लिखा है कि में गलत हु,कहाँ लिखा है कि मैं गलत हूँ?
क्या तुम आओगे रास्ता साफ़ है,क्या तुम आओगे? रास्ता साफ़ है।
मा ने खाना बनाया है में अभी आ रहा हु,माँ ने खाना बनाया है। मैं अभी आ रहा हूँ।
वहा मत जाना जहा बिजली कड़क रही हो,वहाँ मत जाना जहाँ बिजली कड़क रही हो।
क्या आप जानते हैं कि में कहा हु,क्या आप जानते हैं कि मैं कहाँ हूँ?
में कल आऊंगा वहा बहुत काम है,मैं कल जाऊँगा। वहाँ बहुत काम है।
कहा हो तुम मा परेशान हो रही है,कहाँ हो तुम? माँ परेशान हो रही है।
में और मा वहा साथ जाएंगे,मैं और माँ वहाँ साथ जाएंगे।
क्या तुम जानते हो में कहा से आया हु,क्या तुम जानते हो मैं कहाँ से आया हूँ?
में वहा खड़ा था जहा बारिश हो रही थी,मैं वहाँ खड़ा था जहाँ बारिश हो रही थी।
मा ने पूछा कहा जा रहे हो,"माँ ने पूछा, ""कहाँ जा रहे हो?"""
क्या तुम चलोगे मुझे मा से मिलना है,क्या तुम चलोगे? मुझे माँ से मिलना है।
में घर पर हु वहा कोई नहीं है,मैं घर पर हूँ। वहाँ कोई नहीं है।
कहा लिखा है कि मा घर पर नहीं है,कहाँ लिखा है कि माँ घर पर नहीं है?
में कल जाऊंगा वहा सब इंतज़ार कर रहे हैं,मैं कल जाऊँगा। वहाँ सब इंतज़ार कर रहे हैं।
क्या तुम जानते हो वहा क्या हुआ,क्या तुम जानते हो वहाँ क्या हुआ?
में और मेरा भाई वहा कल जाएंगे,मैं और मेरा भाई वहाँ कल जाएंगे।
हमे सुख दुख में साथ रहना चाहिए,हमें सुख-दुख में साथ रहना चाहिए।
जीवन में सुख और दुख आते रहते हैं,जीवन में सुख और दुख आते रहते हैं।
वो धीरे धीरे चल रहा था,वह धीरे-धीरे चल रहा था।
माँ ने कहा कि धीरे और प्यार से बोलो,माँ ने कहा कि धीरे और प्यार से बोलो।
हमे अपनी हार जीत स्वीकार करनी चाहिए,हमें अपनी हार-जीत स्वीकार करनी चाहिए।
ये खेल में हार और जीत का सवाल है,यह खेल में हार और जीत का सवाल है।
वो बार बार वही बात दोहरा रहा है,वह बार-बार वही बात दोहरा रहा है।
रात और दिन काम करना पड़ता है,रात और दिन काम करना पड़ता है।
दिन रात एक कर दो सफलता मिलेगी,"दिन-रात एक कर दो, सफलता मिलेगी।"
कभी कभी में सोचता हु,कभी-कभी मैं सोचता हूँ।
कभी और कही भी मिल सकते हैं,कभी और कहीं भी मिल सकते हैं।
हमे सही गलत का पता होना चाहिए,हमें सही-गलत का पता होना चाहिए।
सही और गलत के बीच फर्क समझो,सही और गलत के बीच फर्क समझो।
आना जाना लगा रहता है,आना-जाना लगा रहता है।
यहाँ से आना और जाना मना है,यहाँ से आना और जाना मना है।
आज सुबह जब में उठा तो माँ ने कहा कि बाहर मत जाओ क्योंकि धूप बहुत है मुझे दुकान जाना था ताकि में कुछ सामान ला सकूँ अब में थक गया हूँ और धीरे धीरे घर वापस आ रहा हूँ,आज सुबह जब मैं उठा तो माँ ने कहा कि बाहर मत जाओ क्योंकि धूप बहुत है। मुझे दुकान जाना था ताकि मैं कुछ सामान ला सकूँ। अब मैं थक गया हूँ और धीरे-धीरे घर वापस आ रहा हूँ।
