Noisy,Clean,input_text,target_text
क्या वहां पहुचना सुरक्षित है मुझे बहुत डर लग रहा है,क्या वहां पहुँचना सुरक्षित है? मुझे बहुत डर लग रहा है!,क्या वहां पहुचना सुरक्षित है मुझे बहुत डर लग रहा है </s> <2hi>,<2hi> क्या वहां पहुँचना सुरक्षित है? मुझे बहुत डर लग रहा है! </s>
क्या यह स्कूल बेस्ट है या शहर के बाकी स्कूल भी अच्छे हैं,क्या यह स्कूल बेस्ट है या शहर के बाकी स्कूल भी अच्छे हैं?,क्या यह स्कूल बेस्ट है या शहर के बाकी स्कूल भी अच्छे हैं </s> <2hi>,<2hi> क्या यह स्कूल बेस्ट है या शहर के बाकी स्कूल भी अच्छे हैं? </s>
"सुनो! अलमारी में रखे कपड़े काफी पुराने हो गए है, अत में उन्हें दान करने वाला हु। में नए कपड़े खरीदने बाज़ार जा रहा हु ताकि में शादी में अच्छा दिख सकूँ। क्या तुम चलोगे","सुनो! अलमारी में रखे कपड़े काफी पुराने हो गए हैं, अतः मैं उन्हें दान करने वाला हूँ। मैं नए कपड़े खरीदने बाज़ार जा रहा हूँ ताकि मैं शादी में अच्छा दिख सकूँ। क्या तुम चलोगे?","सुनो! अलमारी में रखे कपड़े काफी पुराने हो गए है, अत में उन्हें दान करने वाला हु। में नए कपड़े खरीदने बाज़ार जा रहा हु ताकि में शादी में अच्छा दिख सकूँ। क्या तुम चलोगे </s> <2hi>","<2hi> सुनो! अलमारी में रखे कपड़े काफी पुराने हो गए हैं, अतः मैं उन्हें दान करने वाला हूँ। मैं नए कपड़े खरीदने बाज़ार जा रहा हूँ ताकि मैं शादी में अच्छा दिख सकूँ। क्या तुम चलोगे? </s>"
क्या यह प्लान फाइनल है या आपकी दूसरी स्कीम्स भी तैयार हैं?,क्या यह प्लान फाइनल है या आपकी दूसरी स्कीम्स भी तैयार हैं?,क्या यह प्लान फाइनल है या आपकी दूसरी स्कीम्स भी तैयार हैं? </s> <2hi>,<2hi> क्या यह प्लान फाइनल है या आपकी दूसरी स्कीम्स भी तैयार हैं? </s>
सामान उलट-पुलट गया,सामान उलट-पुलट गया।,सामान उलट-पुलट गया </s> <2hi>,<2hi> सामान उलट-पुलट गया। </s>
"इस फिल्म में सस्पेंस, थ्रिलर और ड्रामा का अच्छा तालमेल है, पर मैं इसकी एंडिंग से थोड़ा दुखी हूँ। अतः मैं इसे फिर से नहीं देखूँगा। क्या तुम्हें फिल्म की कहानी समझ आई?","इस फिल्म में सस्पेंस, थ्रिलर और ड्रामा का अच्छा तालमेल है, पर मैं इसकी एंडिंग से थोड़ा दुखी हूँ। अतः मैं इसे फिर से नहीं देखूँगा। क्या तुम्हें फिल्म की कहानी समझ आई?","इस फिल्म में सस्पेंस, थ्रिलर और ड्रामा का अच्छा तालमेल है, पर मैं इसकी एंडिंग से थोड़ा दुखी हूँ। अतः मैं इसे फिर से नहीं देखूँगा। क्या तुम्हें फिल्म की कहानी समझ आई? </s> <2hi>","<2hi> इस फिल्म में सस्पेंस, थ्रिलर और ड्रामा का अच्छा तालमेल है, पर मैं इसकी एंडिंग से थोड़ा दुखी हूँ। अतः मैं इसे फिर से नहीं देखूँगा। क्या तुम्हें फिल्म की कहानी समझ आई? </s>"
मा ने पूछा कि क्या तुमने खिड़की बंद की बाहर बहुत शोर है,माँ ने पूछा कि क्या तुमने खिड़की बंद की? बाहर बहुत शोर है।,मा ने पूछा कि क्या तुमने खिड़की बंद की बाहर बहुत शोर है </s> <2hi>,<2hi> माँ ने पूछा कि क्या तुमने खिड़की बंद की? बाहर बहुत शोर है। </s>
आनन-फानन में काम हुआ।,आनन-फानन में काम हुआ।,आनन-फानन में काम हुआ। </s> <2hi>,<2hi> आनन-फानन में काम हुआ। </s>
क्या तुमने मा से पूछा कि वो कहा जा रही है में तो वha खडा था जहा से वो निकली,क्या तुमने माँ से पूछा कि वह कहाँ जा रही हैं? मैं तो वहाँ खड़ा था जहाँ से वह निकलीं।,क्या तुमने मा से पूछा कि वो कहा जा रही है में तो वha खडा था जहा से वो निकली </s> <2hi>,<2hi> क्या तुमने माँ से पूछा कि वह कहाँ जा रही हैं? मैं तो वहाँ खड़ा था जहाँ से वह निकलीं। </s>
"अजी ज़रा सुनिए, क्या यहाँ पास में कोई एटीएम या बैंक अवेलेबल है?","अजी! ज़रा सुनिए, क्या यहाँ पास में कोई एटीएम या बैंक अवेलेबल है?","अजी ज़रा सुनिए, क्या यहाँ पास में कोई एटीएम या बैंक अवेलेबल है? </s> <2hi>","<2hi> अजी! ज़रा सुनिए, क्या यहाँ पास में कोई एटीएम या बैंक अवेलेबल है? </s>"
सच क्या तुम सच में देश-विदेश की यात्रा पर जा रहे हो,सच! क्या तुम सच में देश-विदेश की यात्रा पर जा रहे हो?,सच क्या तुम सच में देश-विदेश की यात्रा पर जा रहे हो </s> <2hi>,<2hi> सच! क्या तुम सच में देश-विदेश की यात्रा पर जा रहे हो? </s>
में वहा खडा था जहा सब देख रहे थे,मैं वहाँ खड़ा था जहाँ सब देख रहे थे।,में वहा खडा था जहा सब देख रहे थे </s> <2hi>,<2hi> मैं वहाँ खड़ा था जहाँ सब देख रहे थे। </s>
