Noisy,Clean
भरत अयोध्या लौट चुके थे।,भरत अयोध्या लौट चुके थे।
भरत अयोध्या लौट चुके थे,भरत अयोध्या लौट चुके थे।
सेना धूल उड़ाती हुई वापस जा चुकी थी।,सेना धूल उड़ाती हुई वापस जा चुकी थी।
सेना धूल उड़ाती हुई वापस जा चुकी थी,सेना धूल उड़ाती हुई वापस जा चुकी थी।
दो दिन बाद चित्रकूट की परिचित शांति लौट आई थी।,दो दिन बाद चित्रकूट की परिचित शांति लौट आई थी।
दो दिन बाद चित्रकूट की परिचित शांति लौट आई थी,दो दिन बाद चित्रकूट की परिचित शांति लौट आई थी।
राम-लक्ष्मण ने उस वन से राक्षसों का सफाया कर दिया था।,राम-लक्ष्मण ने उस वन से राक्षसों का सफाया कर दिया था।
राम लक्ष्मण ने उस वन से राक्षसों का सफाया कर दिया था।,राम-लक्ष्मण ने उस वन से राक्षसों का सफाया कर दिया था।
राम लक्ष्मण ने उस वन से राक्षसों का सफाया कर दिया था,राम-लक्ष्मण ने उस वन से राक्षसों का सफाया कर दिया था।
राम-लक्ष्मण ने उस वन से राक्षसों का सफाया कर दिया था,राम-लक्ष्मण ने उस वन से राक्षसों का सफाया कर दिया था।
अब तपस्या में कोई बाधा नहीं थी।,अब तपस्या में कोई बाधा नहीं थी।
अब तपस्या में कोई बाधा नहीं थी,अब तपस्या में कोई बाधा नहीं थी।
सीते! राक्षसों का विनाश ही उचित है।,सीते! राक्षसों का विनाश ही उचित है।
सीते राक्षसों का विनाश ही उचित है।,सीते! राक्षसों का विनाश ही उचित है।
सीते राक्षसों का विनाश ही उचित है,सीते! राक्षसों का विनाश ही उचित है।
सीते! राक्षसों का विनाश ही उचित है,सीते! राक्षसों का विनाश ही उचित है।
"राजकुमार! ये ऋषियों के कंकाल हैं, जिन्हें राक्षसों ने मार डाला है।","राजकुमार! ये ऋषियों के कंकाल हैं, जिन्हें राक्षसों ने मार डाला है।"
"राजकुमार! ये ऋषियों के कंकाल हैं, जिन्हें राक्षसों ने मार डाला है","राजकुमार! ये ऋषियों के कंकाल हैं, जिन्हें राक्षसों ने मार डाला है।"
राजकुमार ये ऋषियों के कंकाल है जिन्हें राक्षसों ने मार डाला है,"राजकुमार! ये ऋषियों के कंकाल हैं, जिन्हें राक्षसों ने मार डाला है।"
राजकुमार ये ऋषियों के कंकाल हैं जिन्हें राक्षसों ने मार डाला है।,"राजकुमार! ये ऋषियों के कंकाल हैं, जिन्हें राक्षसों ने मार डाला है।"
राजकुमार! ये ऋषियों के कंकाल हैं जिन्हें राक्षसों ने मार डाला है।,"राजकुमार! ये ऋषियों के कंकाल हैं, जिन्हें राक्षसों ने मार डाला है।"
"राजकुमार ये ऋषियों के कंकाल हैं, जिन्हें राक्षसों ने मार डाला है।","राजकुमार! ये ऋषियों के कंकाल हैं, जिन्हें राक्षसों ने मार डाला है।"
पंचवटी के मार्ग में राम को एक विशालकाय गिद्ध मिला।,पंचवटी के मार्ग में राम को एक विशालकाय गिद्ध मिला।
पंचवटी के मार्ग में राम को एक विशालकाय गिद्ध मिला,पंचवटी के मार्ग में राम को एक विशालकाय गिद्ध मिला।
राम ने जटायु को धन्यवाद दिया।,राम ने जटायु को धन्यवाद दिया।
राम ने जटायु को धन्यवाद दिया,राम ने जटायु को धन्यवाद दिया।
हे रूपराज! मैं तुम्हें नहीं जानती।,हे रूपराज! मैं तुम्हें नहीं जानती।
हे रूपराज मैं तुम्हें नहीं जानती,हे रूपराज! मैं तुम्हें नहीं जानती।
हे रूपराज मैं तुम्हें नहीं जानती।,हे रूपराज! मैं तुम्हें नहीं जानती।
हे रूपराज में तुम्हें नहीं जानती,हे रूपराज! मैं तुम्हें नहीं जानती।
हे रूपराज! मैं तुम्हें नहीं जानती,हे रूपराज! मैं तुम्हें नहीं जानती।
देवी! मैं तो राम का दास हूँ।,देवी! मैं तो राम का दास हूँ।
देवी मैं तो राम का दास हूँ।,देवी! मैं तो राम का दास हूँ।
देवी! मैं तो राम का दास हूँ,देवी! मैं तो राम का दास हूँ।
देवी में तो राम का दास हु,देवी! मैं तो राम का दास हूँ।
देवी मैं तो राम का दास हूँ,देवी! मैं तो राम का दास हूँ।
लक्ष्मण ने शूर्पणखा को पुनः राम के पास भेज दिया।,लक्ष्मण ने शूर्पणखा को पुनः राम के पास भेज दिया।
लक्ष्मण ने शूर्पणखा को पुनः राम के पास भेज दिया,लक्ष्मण ने शूर्पणखा को पुनः राम के पास भेज दिया।
लक्ष्मण ने शूर्पणखा को पुन राम के पास भेज दिया,लक्ष्मण ने शूर्पणखा को पुनः राम के पास भेज दिया।
हे सीते! हे लक्ष्मण!,हे सीते! हे लक्ष्मण!
हे सीते हे लक्ष्मण,हे सीते! हे लक्ष्मण!
"आप चिंता न करें, माते!","आप चिंता न करें, माते!"
आप चिंता न करें माते,"आप चिंता न करें, माते!"
आप चिंता न करें माते!,"आप चिंता न करें, माते!"
"आप चिंता न करें, माते","आप चिंता न करें, माते!"
हे लक्ष्मण! तुम उन्हें लेकर आओ।,हे लक्ष्मण! तुम उन्हें लेकर आओ।
हे लक्ष्मण तुम उन्हें लेकर आओ।,हे लक्ष्मण! तुम उन्हें लेकर आओ।
हे लक्ष्मण तुम उन्हें लेकर आओ,हे लक्ष्मण! तुम उन्हें लेकर आओ।
हे लक्ष्मण! तुम उन्हें लेकर आओ,हे लक्ष्मण! तुम उन्हें लेकर आओ।
"रावण ने सीता के स्वरूप, संस्कार और साहस की प्रशंसा की।","रावण ने सीता के स्वरूप, संस्कार और साहस की प्रशंसा की।"
"रावण ने सीता के स्वरूप, संस्कार और साहस की प्रशंसा की","रावण ने सीता के स्वरूप, संस्कार और साहस की प्रशंसा की।"
रावण ने सीता के स्वरूप संस्कार और साहस की प्रशंसा की।,"रावण ने सीता के स्वरूप, संस्कार और साहस की प्रशंसा की।"
रावण ने सीता के स्वरूप संस्कार और साहस की प्रशंसा की,"रावण ने सीता के स्वरूप, संस्कार और साहस की प्रशंसा की।"
सुमुखी! मैं रावण हूँ।,सुमुखी! मैं रावण हूँ।
सुमुखी में रावण हु,सुमुखी! मैं रावण हूँ।
सुमुखी मैं रावण हूँ।,सुमुखी! मैं रावण हूँ।
सुमुखी! मैं रावण हूँ,सुमुखी! मैं रावण हूँ।
सुमुखी मैं रावण हूँ,सुमुखी! मैं रावण हूँ।
सीता को लगा कि अब संभवतः कोई उनकी सहायता नहीं कर पाएगा।,सीता को लगा कि अब संभवतः कोई उनकी सहायता नहीं कर पाएगा।
सीता को लगा कि अब संभवतः कोई उनकी सहायता नहीं कर पाएगा,सीता को लगा कि अब संभवतः कोई उनकी सहायता नहीं कर पाएगा।
सीता को लगा कि अब संभवत कोई उनकी सहायता नहीं कर पाएगा,सीता को लगा कि अब संभवतः कोई उनकी सहायता नहीं कर पाएगा।
सुंदरी! मैं तुम्हें एक वर्ष का समय देता हूँ।,सुंदरी! मैं तुम्हें एक वर्ष का समय देता हूँ।
सुंदरी में तुम्हें एक वर्ष का समय देता हु,सुंदरी! मैं तुम्हें एक वर्ष का समय देता हूँ।
सुंदरी मैं तुम्हें एक वर्ष का समय देता हूँ।,सुंदरी! मैं तुम्हें एक वर्ष का समय देता हूँ।
सुंदरी मैं तुम्हें एक वर्ष का समय देता हूँ,सुंदरी! मैं तुम्हें एक वर्ष का समय देता हूँ।
सुंदरी! मैं तुम्हें एक वर्ष का समय देता हूँ,सुंदरी! मैं तुम्हें एक वर्ष का समय देता हूँ।
"उधर, सीता को पाने के लिए रावण ने अपनी योजना बदली।","उधर, सीता को पाने के लिए रावण ने अपनी योजना बदली।"
उधर सीता को पाने के लिए रावण ने अपनी योजना बदली।,"उधर, सीता को पाने के लिए रावण ने अपनी योजना बदली।"
"उधर, सीता को पाने के लिए रावण ने अपनी योजना बदली","उधर, सीता को पाने के लिए रावण ने अपनी योजना बदली।"
उधर सीता को पाने के लिए रावण ने अपनी योजना बदली,"उधर, सीता को पाने के लिए रावण ने अपनी योजना बदली।"
सीते! तुम कहाँ हो?,सीते! तुम कहाँ हो?
सीते तुम कहाँ हो,सीते! तुम कहाँ हो?
सीते! तुम कहाँ हो,सीते! तुम कहाँ हो?
सीते तुम कहाँ हो?,सीते! तुम कहाँ हो?
हे मृग! तुम्हीं बताओ सीता कहाँ हैं?,हे मृग! तुम्हीं बताओ सीता कहाँ हैं?
हे मृग तुम्हीं बताओ सीता कहाँ है,हे मृग! तुम्हीं बताओ सीता कहाँ हैं?
हे मृग तुम्हीं बताओ सीता कहाँ हैं?,हे मृग! तुम्हीं बताओ सीता कहाँ हैं?
हे मृग! तुम्हीं बताओ सीता कहाँ हैं,हे मृग! तुम्हीं बताओ सीता कहाँ हैं?
हे मृग तुम्हीं बताओ सीता कहाँ हैं,हे मृग! तुम्हीं बताओ सीता कहाँ हैं?
"यह पुष्पमाला वही है, जिसे सीता ने वेणी में गूंथ रखा था।","यह पुष्पमाला वही है, जिसे सीता ने वेणी में गूंथ रखा था।"
"यह पुष्पमाला वही है, जिसे सीता ने वेणी में गूंथ रखा था","यह पुष्पमाला वही है, जिसे सीता ने वेणी में गूंथ रखा था।"
यह पुष्पमाला वही है जिसे सीता ने वेणी में गूंथ रखा था,"यह पुष्पमाला वही है, जिसे सीता ने वेणी में गूंथ रखा था।"
यह पुष्पमाला वही है जिसे सीता ने वेणी में गूंथ रखा था।,"यह पुष्पमाला वही है, जिसे सीता ने वेणी में गूंथ रखा था।"
"कोई उससे सहायता माँगने आया है, जिसे स्वयं सहायता चाहिए।","कोई उससे सहायता माँगने आया है, जिसे स्वयं सहायता चाहिए।"
"कोई उससे सहायता माँगने आया है, जिसे स्वयं सहायता चाहिए","कोई उससे सहायता माँगने आया है, जिसे स्वयं सहायता चाहिए।"
कोई उससे सहायता माँगने आया है जिसे स्वयं सहायता चाहिए,"कोई उससे सहायता माँगने आया है, जिसे स्वयं सहायता चाहिए।"
कोई उससे सहायता माँगने आया है जिसे स्वयं सहायता चाहिए।,"कोई उससे सहायता माँगने आया है, जिसे स्वयं सहायता चाहिए।"
आनन-फानन में राज्याभिषेक की तैयारियाँ की गईं।,आनन-फानन में राज्याभिषेक की तैयारियाँ की गईं।
आनन-फानन में राज्याभिषेक की तैयारियाँ की गईं,आनन-फानन में राज्याभिषेक की तैयारियाँ की गईं।
आनन फानन में राज्याभिषेक की तैयारियाँ की गईं,आनन-फानन में राज्याभिषेक की तैयारियाँ की गईं।
आनन फानन में राज्याभिषेक की तैयारियाँ की गईं।,आनन-फानन में राज्याभिषेक की तैयारियाँ की गईं।
धनुष की टंकार सुनते ही उसे राम को दिया वचन पुनः याद आ गया।,धनुष की टंकार सुनते ही उसे राम को दिया वचन पुनः याद आ गया।
धनुष की टंकार सुनते ही उसे राम को दिया वचन पुन याद आ गया,धनुष की टंकार सुनते ही उसे राम को दिया वचन पुनः याद आ गया।
धनुष की टंकार सुनते ही उसे राम को दिया वचन पुनः याद आ गया,धनुष की टंकार सुनते ही उसे राम को दिया वचन पुनः याद आ गया।
हनुमान! आपको जाना होगा।,हनुमान! आपको जाना होगा।
हनुमान आपको जाना होगा,हनुमान! आपको जाना होगा।
हनुमान आपको जाना होगा।,हनुमान! आपको जाना होगा।
हनुमान! आपको जाना होगा,हनुमान! आपको जाना होगा।
ऐसे लौटा तो राम को क्या बताऊँगा?,ऐसे लौटा तो राम को क्या बताऊँगा?
ऐसे लौटा तो राम को क्या बताऊँगा,ऐसे लौटा तो राम को क्या बताऊँगा?
